Account,Level,Account Name,Account Title,Standard Cost Equation?,Count Scaling Variable,Count per Variable,Optional Variable,Optional Value,Fixed Cost ($),Unit Cost,Unit Cost (units),Scaling Variable,Scaling Variable Ref Value,Units,Exponent,Dollar Year,Type,Source,Ref,Link,Notes,FOAK to NOAK Multiplier Type,Fixed Cost Low End,Fixed Cost High End,Fixed Cost Distribution,Unit Cost Low End,Unit Cost High End,Unit Cost Distribution,Exponent std,Exponent Max,Exponent Min,Exponent Distribution
213.83,4,Manufacturing Facility Security Building Walls,                        Manufacturing Facility Security Building Walls,standard,Constant,1,,,,721.21,$/m^3,Manufacturing Facility Security Building Walls Volume,,m^3,,2024,Lab and Mat and Equip,,,,,No Learning,0,0,Lognormal,649.089,937.5730000000001,Lognormal,0.1,1,0,Truncated Normal
213.89,4,HVAC,                        HVAC,standard,Constant,1,,,,,$/m^3,Manufacturing Facility Security Building Volume,,m^3,,,,,,,,No Learning,0,0,Lognormal,0,0,Lognormal,0.1,1,0,Truncated Normal
213.9,3,Security Fencing,                  Security Fencing,standard,Constant,1,,,,246.06299212598424,$/m,Factory Perimeter,,,,2009,Lab and Equip,Ref Table 2-8,Kessler. Cost Estimate for an Away-From-Reactor Generic Interim Storage Facility (GISF) for Spent Nuclear Fuel. EPRI. 2009.,https://www.epri.com/research/products/1018722,,No Learning,0,0,Lognormal,221.4566929133858,319.8818897637795,Lognormal,0.1,1,0,Truncated Normal
214,2,Servicing Facility,            Servicing Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214.1,3,Servicing Building,                  Servicing Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.11,4,Servicing Building Roof,                        Servicing Building Roof,standard,Constant,1,,,,1836,$/m^3,Servicing Building Roof Volume,,m^3,,2024,Lab and Mat and Equip,"RSMeans software: a tool that primarily provides costs for non-nuclear work
Nuclear Multiplier have not been applied ","GORDIAN. (2024). ""RSMeans data. 
&
Delene, J. G. and I. Hudson, C. R. (1993). Cost estimate guidelines for advanced nuclear power technologies. United States, Oak Ridge National Lab. (ORNL), Oak Ridge, TN (United States): Medium: ED; Size: 159 p.","https://www.rsmeans.com/
&
https://www.osti.gov/biblio/10176857",,No Learning,0,0,Lognormal,1652.4,2386.8,Lognormal,0.1,1,0,Truncated Normal
213.12,4,Servicing Building Basement,                        Servicing Building Basement,standard,Constant,1,,,,1444.167,$/m^3,Servicing Building Basement Volume,,m^3,,2024,Lab and Mat and Equip,,,,,No Learning,0,0,Lognormal,1299.7503,1877.4171,Lognormal,0.1,1,0,Truncated Normal
213.13,4,Servicing Building Walls,                        Servicing Building Walls,standard,Constant,1,,,,1103.4513000000002,$/m^3,Servicing Building Walls Volume,,m^3,,2024,Lab and Mat and Equip,,,,,No Learning,0,0,Lognormal,993.1061700000001,1434.4866900000002,Lognormal,0.1,1,0,Truncated Normal
214.14,4,Servicing Hot Cell,                        Servicing Hot Cell,standard,Servicing Hot Cell Count,,,,,,,,,,,,,,,,,No Learning,0,0,Lognormal,0,0,Lognormal,0.1,1,0,Truncated Normal
214.141,5,Hot Cell Airlock,                              Hot Cell Airlock,standard,Servicing Hot Cell Count,4,,,,,,,,,,,,,,,,No Learning,0,0,Lognormal,0,0,Lognormal,0.1,1,0,Truncated Normal
